"Product Code","Barcode 1","On Order"
8703241,3600523242641,0
8703258,3600523216086,0
9745647,9899999133315,0
6585061,4582287830878,0
8716748,3349666007983,0
9492919,3349668530502,0
8716730,3349666007990,0
9492869,3349666007921,0
9547795,3349668566372,0
9492877,3349666007891,0
9876988,3349668562701,0
8786295,3349668617050,0
8786287,3349668617043,0
8716755,3349668554768,0
9426081,8411061865408,0
9431511,8411061906651,0
9468026,8411061894026,0
8777344,8411061043868,0
9426172,8411061896259,0
9426131,8411061865460,0
9468646,8411061865613,0
8717456,8411061120637,0
8717431,8411061777183,0
8717449,8411061777176,0
2912988,5016379400001,0
9526658,5016379401015,0
9432576,85805390600,0
9671694,5033852190235,0
530626,5012335880405,0
2035954,5012335013506,0
50179,5012335003309,0
487892,45879002304,0
2579035,5012335850606,0
8827123,8700216433273,0
8827115,8700216436328,0
4083861,5012335886209,0
3745841,5012335877009,0
8828980,8700216356640,0
3711447,5012335872608,0
8764896,8006540687444,0
8726796,8006540157947,0
3870722,5012335880108,0
3870714,5012335880009,0
8810657,8700216181655,0
9934571,7610313303472,0
9515750,7610313405107,12
2871515,7610313304585,0
830299,7610313313174,12
9617101,7610313304189,0
782037,7610313131358,0
830307,7610313303557,0
782045,7610313303243,0
9609587,7610313304349,0
9487976,7610313605910,0
9557893,7610313304455,0
3795564,7610313100606,0
782060,7610313303441,0
2802452,7610313404063,60
9696188,7610313405053,18
9967514,7610313404216,0
8844672,7610313303502,0
9863606,7610313304547,0
9487984,7610313606924,0
9487992,7610313405305,0
8833287,7610313404704,0
9917626,85715166517,0
9917618,85715166524,0
485714,3600540659279,90
8815102,3600540305381,12
395129,3600540305305,36
8736431,3600542397704,36
9706987,3600541436190,132
9706953,3600541442108,24
8793937,3600541624245,90
8787772,3600542449878,54
8847766,3600542624794,0
8846594,3600542627962,0
8736464,3600542444262,48
9783721,3600541889651,120
9465055,3600540305008,0
8736456,3600542444347,0
9737586,3600541309661,90
9407271,3600540304520,72
8780025,3600542298278,0
8847758,3600542624893,0
8780199,3600542452595,42
8846602,3600542512961,0
8780207,3600541309784,42
145599,3600540304513,54
