Product Name,Pack,Code,barcode1,Stock Level,Weeks of Stock (supplied),Stock Status,On Order,binLocation
 LOREAL AGE PERFECT GOLDEN AGE REACT COOL CREAM - NIGHT,50ML,8703241,3.60052E+12,8,5.33,Green,False,AGK-42
 LOREAL AGE PERFECT GOLDEN AGE ROSY RE-FORT CREAM DAY,50ML,8703258,3.60052E+12,12,24.0,Green,False,AGK-71
* PASSPORT ID STATION PAPER &amp; RIBBON,1,9745647,9.9E+12,16,16.0,Green,False,BFK-01
** PASSPORT SONY UPC-X34PF (30),,6585061,4.58229E+12,25,25.0,Green,False,BEM-01
1 MILLION AFTERSHAVE LOTION 100ML,100ML,8716748,3.34967E+12,6,6.0,Green,False,BAN3
1 MILLION DEO SPRAY 150ML,150ML,9492919,3.34967E+12,1,1.0,Green,False,BAO4
1 MILLION DEO STICK 75ML,75ML,8716730,3.34967E+12,0,0.0,Red,False,BAS6
1 MILLION EDT 100ML,100ML,9492869,3.34967E+12,17,22.67,Green,False,BAV5
1 MILLION EDT 200ML ,200ML,9547795,3.34967E+12,1,1.0,Green,False,BAQ3
1 MILLION EDT 50ML,50ML,9492877,3.34967E+12,37,74.0,Green,False,BAM3
1 MILLION LUCKY EDT 50ML,50ML,9876988,3.34967E+12,1,1.0,Green,False,BAO3
1 MILLION ROYAL 100ML,100ML,8786295,3.34967E+12,2,2.0,Green,False,BAN5
1 MILLION ROYAL 50ML,50ML,8786287,3.34967E+12,0,0.0,Red,False,BAJ6
1 MILLION SHOWER GEL 150ML,150ML,8716755,3.34967E+12,1,1.0,Green,False,BAM2
212 EDT 100ML,100ML,9426081,8.41106E+12,2,8.0,Green,False,BAM5
212 EDT 30ML,30ML,9431511,8.41106E+12,1,2.0,Green,False,BAA4
212 EDT 60ML,60ML,9468026,8.41106E+12,1,1.0,Green,False,BAU7
212 MEN EDT 100ML,100ML,8777344,8.41106E+12,0,0.0,Red,False,BAP6
212 MEN EDT 50ML ,50ML,9426172,8.41106E+12,1,1.0,Green,False,BAA7
