Product Name,Pack,Code,barcode1,Stock Level,Weeks of Stock (supplied),Stock Status,On Order,binLocation
 LOREAL AGE PERFECT GOLDEN AGE REACT COOL CREAM - NIGHT,50ML,8703241,3600523242641,8,5.33,Green,FALSE,AGK-42
 LOREAL AGE PERFECT GOLDEN AGE ROSY RE-FORT CREAM DAY,50ML,8703258,3600523216086,12,24,Green,FALSE,AGK-71
* PASSPORT ID STATION PAPER &amp; RIBBON,1,9745647,9899999133315,16,16,Green,FALSE,BFK-01
** PASSPORT SONY UPC-X34PF (30),,6585061,4582287830878,25,25,Green,FALSE,BEM-01
1 MILLION AFTERSHAVE LOTION 100ML,100ML,8716748,3349666007983,6,6,Green,FALSE,BAN3
1 MILLION DEO SPRAY 150ML,150ML,9492919,3349668530502,1,1,Green,FALSE,BAO4
1 MILLION DEO STICK 75ML,75ML,8716730,3349666007990,0,0,Red,FALSE,BAS6
1 MILLION EDT 100ML,100ML,9492869,3349666007921,17,22.67,Green,FALSE,BAV5
1 MILLION EDT 200ML ,200ML,9547795,3349668566372,1,1,Green,FALSE,BAQ3
1 MILLION EDT 50ML,50ML,9492877,3349666007891,37,74,Green,FALSE,BAM3
1 MILLION LUCKY EDT 50ML,50ML,9876988,3349668562701,1,1,Green,FALSE,BAO3
1 MILLION ROYAL 100ML,100ML,8786295,3349668617050,2,2,Green,FALSE,BAN5
1 MILLION ROYAL 50ML,50ML,8786287,3349668617043,0,0,Red,FALSE,BAJ6
1 MILLION SHOWER GEL 150ML,150ML,8716755,3349668554768,1,1,Green,FALSE,BAM2
212 EDT 100ML,100ML,9426081,8411061865408,2,8,Green,FALSE,BAM5
212 EDT 30ML,30ML,9431511,8411061906651,1,2,Green,FALSE,BAA4
212 EDT 60ML,60ML,9468026,8411061894026,1,1,Green,FALSE,BAU7
212 MEN EDT 100ML,100ML,8777344,8411061043868,0,0,Red,FALSE,BAP6
212 MEN EDT 50ML ,50ML,9426172,8411061896259,1,1,Green,FALSE,BAA7
212 SEXY EDP 60ML***,60ML,9426131,8411061865460,22,22,Green,FALSE,"BAE3, BAE2"
212 SEXY MEN EDT 50ML,50ML,9468646,8411061865613,39,156,Green,FALSE,BAJ7
212 VIP BLACK EDP NS 50ML,50ML,8717456,8411061120637,0,0,Red,FALSE,
212 VIP ROSÉ EDP NS 50ML,50ML,8717431,8411061777183,26,104,Green,FALSE,BAD5
212 VIP ROSÉ EDP NS 80ML,80ML,8717449,8411061777176,27,108,Green,FALSE,"BAN6, BAN2"
4 HEAD HEADACHE TREATMENT 3.6G,1,2912988,5016379400001,74,24.67,Green,FALSE,AQT-51
4 HEAD QUICKSTRIP COOLING &amp; MIGRAINE,4PK,9526658,5016379401015,15,4,Green,FALSE,AQJ-21
5TH AVENUE 125ML,125ML,9432576,85805390600,0,0,Red,FALSE,BAU4
7 DAY PILL MATE DISPENSER,1,9671694,5033852190235,38,19,Green,FALSE,AHM-62
7 SEAS CLO &amp; MULTIVITS OAD CAPS,90,530626,5012335880405,52,5.78,Green,FALSE,"AID-44, AID-01"
7 SEAS CLO MAX STRENGTH LIQ 300ML,300ML,2035954,5012335013506,0,0,Red,FALSE,APC-G7
7 SEAS CLO ONE-A-DAY CAPS (525mg),120,50179,5012335003309,59,6.94,Green,FALSE,AIM-32
7 SEAS CLO ONE-A-DAY CAPS 60,60,487892,45879002304,97,18.48,Green,FALSE,AIN-33
7 SEAS EXTRA HIGH STREN CLO LIQ MED,300ML,2579035,5012335850606,154,12.08,Green,FALSE,"AQN-G3, A4C-01"
7 SEAS JOINTCARE COLLAGEN,30+30,8827123,8700216433273,61,15.25,Green,FALSE,AIL-61
7 SEAS JOINTCARE MAX GLUCOSAMINE,30+30,8827115,8700216436328,40,26.67,Green,FALSE,AIN-51
7 SEAS JOINTCARE SUPPLEX + TURMERIC,30+30,4083861,5012335886209,121,12.1,Green,FALSE,AIC-73
